quarter,department,day,team,smv,wip,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,over_time_scaled,target_met,productivity_level
Quarter1,sewing,Thursday,8,26.16,1108.0,98,0.0,0,0,59.0,0.7505889183804746,1,High
Quarter1,finished,Thursday,1,3.94,0.0,0,0.0,0,0,8.0,-1.0776823771579405,1,High
Quarter1,sewing,Thursday,11,11.41,968.0,50,0.0,0,0,30.5,-0.27109209971452214,1,High
Quarter1,sewing,Thursday,12,11.41,968.0,50,0.0,0,0,30.5,-0.27109209971452214,1,High
Quarter1,sewing,Thursday,6,25.9,1170.0,50,0.0,0,0,56.0,-0.7908947229558362,1,High
Quarter1,sewing,Thursday,7,25.9,984.0,38,0.0,0,0,56.0,0.6430435480546854,1,High
Quarter1,finished,Thursday,2,3.94,0.0,0,0.0,0,0,8.0,-1.0776823771579405,1,Moderate
Quarter1,sewing,Thursday,3,28.08,795.0,45,0.0,0,0,57.5,0.69681623321758,1,Moderate
Quarter1,sewing,Thursday,2,19.87,733.0,34,0.0,0,0,55.0,0.42795280740310715,1,Moderate
Quarter1,sewing,Thursday,1,28.08,681.0,45,0.0,0,0,57.5,0.69681623321758,1,Moderate
Quarter1,sewing,Thursday,9,28.08,872.0,44,0.0,0,0,57.5,0.69681623321758,1,Moderate
Quarter1,sewing,Thursday,10,19.31,578.0,45,0.0,0,0,54.0,0.5713466345041593,0,Moderate
Quarter1,sewing,Thursday,5,11.41,668.0,50,0.0,0,0,30.5,-0.27109209971452214,0,Moderate
Quarter1,finished,Thursday,10,3.94,0.0,0,0.0,0,0,8.0,-1.0776823771579405,1,Moderate
Quarter1,finished,Thursday,8,2.9,0.0,0,0.0,0,0,8.0,-1.0776823771579405,0,Moderate
Quarter1,finished,Thursday,4,3.94,0.0,0,0.0,0,0,18.0,-0.7191978094053102,0,Low
Quarter1,finished,Thursday,7,2.9,0.0,0,0.0,0,0,8.0,-1.0776823771579405,0,Low
Quarter1,sewing,Thursday,4,23.69,861.0,0,0.0,0,0,60.0,0.7864373751557375,0,Low
Quarter1,finished,Thursday,11,4.15,0.0,0,0.0,0,0,12.0,-0.9342885500568884,0,Low
Quarter1,finished,Saturday,4,4.15,0.0,0,0.0,0,0,20.0,0.6071950912794224,1,High
Quarter1,finished,Saturday,11,2.9,0.0,0,0.0,0,0,17.0,0.32040743707731806,1,High
Quarter1,finished,Saturday,9,4.15,0.0,0,0.0,0,0,8.0,-1.0776823771579405,1,High
Quarter1,finished,Saturday,3,3.94,0.0,0,0.0,0,0,8.0,-0.8984400932816253,1,High
Quarter1,finished,Saturday,1,3.94,0.0,0,0.0,0,0,8.0,-1.0776823771579405,1,High
Quarter1,sewing,Saturday,1,28.08,772.0,50,0.0,0,0,56.5,0.5175739493412648,1,High
Quarter1,sewing,Saturday,3,28.08,913.0,50,0.0,0,0,54.5,0.5892708628917909,1,High
Quarter1,sewing,Saturday,8,26.16,1261.0,50,0.0,0,0,59.0,0.7505889183804746,1,High
Quarter1,sewing,Saturday,12,26.16,844.0,63,0.0,0,0,59.0,0.7505889183804746,1,High
Quarter1,sewing,Saturday,11,11.61,1005.0,50,0.0,0,0,29.5,0.7505889183804746,1,High
Quarter1,sewing,Saturday,5,11.61,659.0,50,0.0,0,0,31.5,0.7505889183804746,1,High
Quarter1,sewing,Saturday,6,25.9,1152.0,50,0.0,0,0,56.0,0.6430435480546854,1,High
Quarter1,sewing,Saturday,7,25.9,1138.0,38,0.0,0,0,56.0,0.6430435480546854,1,High
Quarter1,sewing,Saturday,10,19.31,610.0,56,0.0,0,0,54.0,0.5713466345041593,1,Moderate
Quarter1,finished,Saturday,2,4.15,0.0,0,0.0,0,0,8.0,-1.0776823771579405,0,Moderate
Quarter1,sewing,Saturday,2,19.87,944.0,45,0.0,0,0,55.0,0.6071950912794224,1,Moderate
Quarter1,finished,Saturday,10,4.15,0.0,0,0.0,0,0,8.0,-1.0776823771579405,1,Moderate
